%GrainID,O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,a,b,c,alpha,beta,gamma,DiffPos,DiffOme,DiffAngle,GrainRadius,Confidence,eFab11,eFab12,eFab13,eFab21,eFab22,eFab23,eFab31,eFab32,eFab33,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33,RMSErrorStrain,PhaseNr,Eul0,Eul1,Eul2,layer,Zraw,eqv_strain,strain/error,Confidence/R
44401.0,-0.442714,-0.745137,0.498774,0.294924,0.404299,0.865773,-0.846773,0.53039,0.040769,79.796507,-409.399794,485.026638,3.596683,3.592423,3.589435,90.013823,90.05428,90.094893,178.068918,0.089769,0.084649,75.130918,0.864286,-867.28717,-17.629155,278.930973,-17.629155,-1688.784139,113.618014,278.930973,113.618014,974.329874,-339.757029,-78.398967,264.804271,-78.398967,-470.771006,-81.144827,264.804271,-81.144827,970.544754,739.244611,1.0,2.61893,1.530016,5.27197,0.0,85.026638,1402.8051930150111,1.8976197758376505,0.01150373272425608
45275.0,0.284117,0.581564,0.762274,-0.731708,0.645281,-0.219582,-0.619581,-0.495375,0.60887,469.588326,-188.436116,489.490794,3.596335,3.596614,3.598342,90.041009,90.016541,89.941423,104.301565,0.058432,0.058158,95.026602,1.0,583.223385,-228.971135,32.405571,-228.971135,74.760323,-253.689063,32.405571,-253.689063,1308.277128,-26.130316,2.669424,-6.620513,2.669424,149.06662,50.039558,-6.620513,50.039558,1315.000925,777.053746,1.0,1.290328,0.916161,4.037934,0.0,89.490794,1263.4401741116171,1.6259366621876077,0.010523369024602184
44428.0,0.8195,0.285049,-0.497159,-0.267887,0.957448,0.107382,0.506613,0.045183,0.860989,-83.523301,134.619059,244.605287,3.592128,3.594815,3.598893,90.025526,89.95515,89.971106,86.056026,0.053644,0.053199,119.43409,1.0,-338.820181,467.891506,-622.632977,467.891506,-217.555841,71.994807,-622.632977,71.994807,1005.305457,-97.931161,36.393752,-182.981942,36.393752,-60.12623,12.258495,-182.981942,12.258495,1168.321864,151.726699,1.0,4.499665,0.533586,1.481846,0.0,-155.394713,1258.2421083113118,8.292819369327423,0.00837281884929169
46141.0,-0.474093,0.085098,0.876353,-0.877124,0.041101,-0.478501,-0.076739,-0.995524,0.055156,137.400655,306.150054,276.07315800000003,3.589043,3.600925,3.592378,90.01712,89.978984,89.991397,150.574716,0.067799,0.073026,110.22365,1.0,-1028.847679,-483.050143,-87.503943,-483.050143,-1212.590582,-168.239033,-87.503943,-168.239033,1720.24858,-444.934428,177.530026,9.872254,177.530026,-280.459868,12.829836,9.872254,12.829836,1452.1466,191.608607,1.0,1.071018,1.515612,3.218524,0.0,-123.926842,1826.9594884635164,9.53485084552343,0.009072463123839575
46552.0,-0.717731,0.674249,-0.173927,-0.549162,-0.394534,0.736725,0.428117,0.624284,0.653441,-235.669184,223.824146,268.448775,3.595882,3.597897,3.596272,89.997398,89.994032,89.98163,103.460256,0.068626,0.063507,103.203108,1.0,428.251898,-186.753739,177.315156,-186.753739,477.960357,-165.524354,177.315156,-165.524354,715.897564,29.372718,46.535858,-117.849733,46.535858,66.236373,19.555116,-117.849733,19.555116,1086.471959,444.963025,1.0,3.373429,0.858675,0.601113,0.0,-131.551225,1045.0725351950719,2.3486727581355145,0.009689630664998965
46483.0,0.777801,-0.148623,-0.610685,0.44646,0.814541,0.3704,0.442378,-0.560744,0.699905,227.145263,-37.80156,554.288097,3.594711,3.594451,3.595612,90.090204,89.965738,89.99089,138.613327,0.068683,0.063451,73.863379,0.824324,-361.6988,436.937723,-259.17667,436.937723,-340.337026,-35.521507,-259.17667,-35.521507,854.943912,-135.175498,38.360805,311.5724,38.360805,-24.40009,67.812267,311.5724,67.812267,1074.143929,608.466726,1.0,4.167181,0.795531,2.473649,0.0,154.288097,1190.8494347007893,1.9571315633466362,0.01116011765451456
45248.0,0.299998,0.768759,0.564811,-0.693937,-0.2304,0.682178,0.654563,-0.596596,0.464351,506.194174,345.666168,520.189256,3.594376,3.596662,3.591184,90.022952,89.936432,90.00084,165.893136,0.079344,0.078906,81.424287,0.826087,1.89784,-633.26967,-248.650269,-633.26967,-945.472642,-23.523188,-248.650269,-23.523188,387.115236,-267.829016,-188.659179,131.508579,-188.659179,-376.275692,217.240423,131.508579,217.240423,1060.361914,733.6006,1.0,2.450038,1.087895,2.309897,0.0,120.189256,1412.4269413633904,1.9253350411155477,0.010145461881661917
46049.0,-0.383429,0.526099,0.75908,-0.91367,-0.336093,-0.228578,0.134867,-0.781192,0.609549,212.062277,-419.94668,276.138263,3.594628,3.596524,3.597512,90.034168,89.95887,89.991771,114.448831,0.076328,0.065031,91.774558,0.986111,100.77253,-363.391215,215.262322,-363.391215,218.362821,-128.241767,215.262322,-128.241767,916.690497,-86.361064,-156.130778,-68.23718,-156.130778,-390.43832,18.566515,-68.23718,18.566515,1215.58992,395.471492,1.0,1.278307,0.915305,2.970636,0.0,-123.861737,1485.0812809592744,3.7552170282839867,0.010744927804501113
46325.0,-0.59921,0.783853,-0.162858,-0.728846,-0.449936,0.516082,0.331257,0.42794,0.840914,386.648132,447.600252,357.356134,3.584634,3.594505,3.596893,89.939611,89.835773,90.007511,276.875778,0.080831,0.095984,73.212733,0.888889,-828.268623,-1257.077023,-32.08344,-1257.077023,-2713.090821,268.642926,-32.08344,268.642926,1259.091052,-299.617981,105.292529,75.318887,105.292529,-448.291255,176.282707,75.318887,176.282707,1399.768613,847.184509,1.0,3.447268,0.571826,0.658731,0.0,-42.643866,1788.4485427689904,2.1110496282327444,0.012141180414614492
44412.0,-0.531939,-0.830547,-0.165022,0.33804,-0.38696,0.857899,-0.776383,0.400566,0.486598,149.960597,144.408415,417.923567,3.596471,3.594472,3.594619,90.00421,90.028375,90.072165,142.19653,0.076336,0.073173,62.34218,0.810811,-526.733499,92.242825,3.672877,92.242825,64.522344,-284.668269,3.672877,-284.668269,834.534901,-469.559646,98.609722,-145.068702,98.609722,-254.037416,-134.152919,-145.068702,-134.152919,1088.257508,660.335566,1.0,3.331628,1.062605,5.188706,0.0,17.923567,1474.4742277826786,2.2329165710615055,0.013005817249252432
