O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,GrainRadius,Eul0,Eul1,Eul2,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33
0.175399,0.717565,0.674044,-0.736499,0.54997,-0.393829,-0.653302,-0.427356,0.624951,-230.115712,213.961054,266.088634,101.506725,1.042017,0.895728,4.133104,-107.978441,-56.347788,36.920316,-56.347788,46.124085,32.402484,36.920316,32.402484,946.141717
-0.874162,-0.393786,-0.284207,0.483868,-0.75612,-0.440629,-0.041381,-0.5227,0.851512,546.205488,-138.939702,472.922886,82.670599,5.710331,0.551934,3.220596,-163.571057,99.027703,-11.069163,99.027703,105.650666,-71.590411,-11.069163,-71.590411,1103.596677
0.298757,0.769837,0.563999,-0.694041,-0.230367,0.682084,0.65502,-0.595216,0.465475,505.115648,345.999023,513.977762,79.195744,2.450678,1.086626,2.308396,-30.037816,-126.689217,-110.929186,-126.689217,-523.845514,172.672953,-110.929186,172.672953,1105.019186
0.417132,-0.864672,-0.279898,0.902781,0.429728,0.017883,0.104817,-0.260146,0.959863,438.964154,-265.840022,552.4294,71.820443,4.648586,0.284282,2.758574,-504.348512,-9.964618,-74.938612,-9.964618,-313.725425,40.574921,-74.938612,40.574921,1300.654226
0.32611,-0.561513,-0.760497,0.893496,-0.07965,0.441951,-0.308734,-0.823626,0.475735,-329.563847,429.187752,259.154573,89.718674,4.185957,1.074997,3.50023,-125.810301,198.190862,78.070558,198.190862,-261.849074,25.501794,78.070558,25.501794,928.504954
0.38973,0.592712,-0.704843,-0.283926,0.80541,0.520289,0.876069,-0.002649,0.482179,-208.391635,258.459005,207.767207,65.428977,4.076507,1.067656,1.57382,-210.501166,101.690483,27.966896,101.690483,-649.113983,-31.437776,27.966896,-31.437776,1024.701292
-0.308361,0.600899,-0.737451,0.251438,0.799143,0.54603,0.917438,-0.017049,-0.397514,-265.366365,473.599054,321.025627,105.019486,4.075042,1.979602,1.589377,-221.99688,0.628295,77.672782,0.628295,-101.241686,128.435639,77.672782,128.435639,1206.636426
-0.332248,-0.750264,0.57159,0.355333,0.4618,0.812699,-0.873699,0.473122,0.113161,126.680365,20.949685,326.718796,86.467698,2.528639,1.457392,5.208695,-399.397405,286.207592,140.446404,286.207592,-157.191816,-190.123111,140.446404,-190.123111,1273.290049
-0.351322,-0.678424,0.645224,0.522357,0.429893,0.736434,-0.776992,0.595762,0.203349,-67.245438,234.425797,492.163848,100.978334,2.422114,1.366019,5.366527,168.79945,126.553833,57.422901,126.553833,-94.856295,-184.6949,57.422901,-184.6949,1181.323726
0.689741,-0.041369,-0.722873,0.521495,0.720974,0.456332,0.502295,-0.691726,0.51886,161.53569,232.130933,413.39778,109.775746,4.149289,1.02528,2.513533,63.32065,21.985362,-12.840898,21.985362,-95.163703,-24.491158,-12.840898,-24.491158,914.464144
0.440909,0.108494,-0.890971,0.453473,0.829728,0.325443,0.774572,-0.547522,0.316636,-3.789027,-335.964628,298.294524,163.868871,4.362177,1.248616,2.186118,-274.893196,15.249596,31.726433,15.249596,-132.669558,54.09409,31.726433,54.09409,971.83656
-0.292082,0.246628,0.924047,-0.378459,0.857508,-0.348496,-0.878326,-0.451504,-0.157124,-112.700874,304.385265,336.132014,96.548522,1.21015,1.728575,4.237565,-145.583179,-64.700733,-29.293483,-64.700733,-32.597172,-0.030304,-29.293483,-0.030304,1309.069754
0.610328,0.473048,-0.635394,-0.192924,0.866727,0.459961,0.768297,-0.158144,0.62025,-115.46088,-116.409108,208.510001,74.393029,4.085803,0.901735,1.773798,-233.531497,-173.426606,173.259216,-173.426606,-254.472977,-268.821332,173.259216,-268.821332,1010.74304
-0.292736,-0.211682,-0.932468,0.954124,-0.000543,-0.299411,0.062874,-0.977338,0.20213,-278.756234,-382.491818,470.681204,138.437814,5.023085,1.367264,3.07735,-339.659755,0.511112,132.916786,0.511112,-125.64072,27.467651,132.916786,27.467651,1168.572115
-0.714556,0.416884,-0.561798,0.475795,0.878321,0.046593,0.512863,-0.234008,-0.825961,-319.795525,91.277119,562.604522,84.308317,4.629643,2.542701,1.998858,-3.924041,-56.716214,159.352345,-56.716214,-237.435798,-26.334345,159.352345,-26.334345,807.044807
